iter	Passed	Remaining
400	22136	33066
401	22188	33006
402	22238	32944
403	22292	32887
404	22344	32827
405	22387	32753
406	22438	32692
407	22487	32628
408	22538	32567
409	22583	32497
410	22626	32426
411	22680	32369
412	22738	32318
413	22787	32254
414	22833	32186
415	22875	32113
416	22922	32047
417	22974	31988
418	23025	31928
419	23075	31865
420	23135	31818
421	23183	31753
422	23244	31706
423	23295	31647
424	23353	31595
425	23403	31534
426	23453	31473
427	23507	31415
428	23552	31348
429	23595	31277
430	23646	31217
431	23691	31149
432	23737	31083
433	23782	31015
434	23828	30949
435	23872	30880
436	23931	30831
437	23982	30771
438	24032	30711
439	24080	30648
440	24131	30588
441	24174	30519
442	24223	30457
443	24275	30399
444	24329	30343
445	24371	30273
446	24427	30219
447	24473	30154
448	24532	30105
449	24584	30047
450	24646	30001
451	24706	29953
452	24752	29888
453	24804	29831
454	24855	29771
455	24912	29720
456	24957	29654
457	25005	29591
458	25053	29528
459	25101	29466
460	25152	29408
461	25207	29353
462	25262	29300
463	25316	29245
464	25396	29219
465	25477	29195
466	25529	29137
467	25581	29079
468	25635	29023
469	25691	28970
470	25739	28908
471	25802	28863
472	25847	28798
473	25901	28742
474	25955	28687
475	26014	28637
476	26059	28572
477	26125	28530
478	26173	28468
479	26235	28422
480	26286	28363
481	26338	28305
482	26396	28254
483	26459	28209
484	26514	28154
485	26562	28093
486	26625	28046
487	26685	27998
488	26738	27941
489	26791	27885
490	26845	27829
491	26897	27772
492	26959	27725
493	27010	27666
494	27069	27616
495	27125	27563
496	27191	27520
497	27252	27471
498	27312	27422
499	27371	27371
500	27431	27321
501	27487	27268
502	27546	27217
503	27598	27160
504	27651	27103
505	27713	27056
506	27762	26995
507	27823	26947
508	27873	26887
509	27921	26826
510	27977	26773
511	28047	26732
512	28112	26687
513	28172	26637
514	28231	26586
515	28295	26540
516	28348	26483
517	28408	26434
518	28463	26379
519	28513	26320
520	28577	26273
521	28637	26223
522	28700	26176
523	28750	26117
524	28807	26063
525	28859	26006
526	28912	25950
527	28968	25895
528	29022	25840
529	29073	25782
530	29131	25730
531	29192	25680
532	29249	25627
533	29304	25572
534	29356	25515
535	29413	25462
536	29470	25409
537	29515	25346
538	29569	25290
539	29628	25238
540	29681	25182
541	29732	25124
542	29787	25070
543	29839	25012
544	29889	24954
545	29938	24894
546	29984	24831
547	30032	24771
548	30086	24715
549	30149	24667
550	30209	24617
551	30263	24561
552	30354	24536
553	30415	24486
554	30473	24433
555	30524	24375
556	30577	24319
557	30645	24274
558	30703	24221
559	30761	24170
560	30817	24115
561	30871	24060
562	30926	24005
563	30984	23952
564	31036	23895
565	31095	23843
566	31153	23790
567	31197	23727
568	31246	23668
569	31294	23608
570	31345	23550
571	31390	23488
572	31447	23434
573	31500	23378
