iter	RMSE
274	128.4389234
275	128.4175039
276	128.2484881
277	128.226721
278	128.1477649
279	128.1161066
280	128.0159031
281	127.9204794
282	127.8602835
283	127.8155011
284	127.7831528
285	127.6799941
286	127.6587777
287	127.5939793
288	127.5635935
289	127.5554025
290	127.5475874
291	127.5285284
292	127.4757548
293	127.314763
294	127.2171109
295	127.189452
296	127.1786438
297	127.1592668
298	127.0954633
299	126.9861221
300	126.9258434
301	126.7504984
302	126.6516349
303	126.6178429
304	126.57644
305	126.4575522
306	126.2742249
307	126.2452911
308	126.1873504
309	126.1252493
310	126.0987112
311	126.0584519
312	126.0385385
313	126.0227285
314	125.9670625
315	125.9442907
316	125.9366346
317	125.9157453
318	125.9098347
319	125.8966664
320	125.7933697
321	125.7661101
322	125.7519229
323	125.7388992
324	125.7224285
325	125.6902185
326	125.6143416
327	125.5354135
328	125.3953606
329	125.2865726
330	125.1296302
331	125.058794
332	125.0136214
333	124.8955942
334	124.8783613
335	124.7993023
336	124.680718
337	124.5953137
338	124.5353335
339	124.5217064
340	124.4612267
341	124.4166133
342	124.3509426
343	124.3184722
344	124.0904719
345	124.039473
346	124.022294
347	123.8475009
348	123.8294273
349	123.6190664
350	123.6035967
351	123.4406992
352	123.4181333
353	123.3811883
354	123.3728642
355	123.3596508
356	123.3464172
357	123.2727015
358	123.2556044
359	123.2028452
360	123.0909806
361	123.0401453
362	123.0126451
363	122.9957849
364	122.9709829
365	122.92242
366	122.906108
367	122.8446873
368	122.7405313
369	122.7338323
370	122.6960081
371	122.6656091
372	122.5756077
373	122.5639152
374	122.5540845
375	122.5164892
376	122.4377957
377	122.4072634
378	122.3885066
379	122.370222
380	122.3564883
381	122.3445343
382	122.3022604
383	122.2939983
384	122.2908775
385	122.2595511
386	122.2448552
387	122.1406914
388	122.1092865
389	122.0319851
390	121.9106081
391	121.8682905
392	121.8431705
393	121.7976679
394	121.7130092
395	121.6935497
396	121.6825174
397	121.6147574
398	121.4392199
399	121.426839
400	121.3925473
401	121.2363766
402	121.1862963
403	121.1773895
404	121.1524763
405	121.1486948
406	121.1249974
407	121.106038
408	121.0347878
409	121.0219565
410	121.0120491
411	120.9834781
412	120.964255
413	120.9325411
414	120.9207947
415	120.8778188
416	120.8626121
417	120.7755226
418	120.7483992
419	120.6776237
420	120.6637254
421	120.4784284
422	120.4635105
423	120.4508117
424	120.4212795
425	120.4114443
426	120.3983974
427	120.3088172
428	120.2812535
429	120.2512562
430	120.2128609
431	120.2058878
432	120.1957252
433	120.192847
434	120.1855911
435	120.168398
436	120.0158935
437	119.9509767
438	119.8970749
439	119.8359047
440	119.7860868
441	119.7572939
442	119.6655628
443	119.6054212
444	119.3351172
445	119.311055
446	119.1426361
447	119.1318798
448	119.1020008
449	119.0894469
450	118.9512956
451	118.9384166
452	118.8887501
453	118.8696889
454	118.7848929
455	118.7472025
456	118.727245
457	118.6931326
458	118.6835011
459	118.6698748
460	118.5778812
461	118.4221624
462	118.3748454
463	118.3564149
464	118.2545659
465	118.2387621
466	118.2200738
467	118.211196
468	118.1638541
469	118.0484625
470	117.9713566
471	117.8956262
472	117.8859296
473	117.834747
474	117.7904809
475	117.773939
476	117.7552921
477	117.7424206
478	117.725375
479	117.7091285
480	117.6555487
481	117.5699036
482	117.4734018
483	117.3176545
484	117.299052
485	117.2563476
486	117.1818022
487	117.1056611
488	117.0397205
489	117.0113964
490	116.990187
491	116.9823078
492	116.9620577
493	116.9501105
494	116.9364077
495	116.8824069
496	116.8613629
497	116.7626371
498	116.7562
499	116.7199618
500	116.6489396
501	116.6353489
502	116.6222652
503	116.6074795
504	116.591141
505	116.5701799
506	116.5656953
507	116.5555822
508	116.542085
509	116.5289907
510	116.466573
511	116.2868025
512	116.060813
513	115.9277477
514	115.8926249
515	115.7775914
516	115.6888738
517	115.6268213
518	115.575614
519	115.564659
520	115.4588355
521	115.3692229
522	115.3023472
523	115.288429
524	115.237988
525	115.2195322
526	115.1946982
527	115.17556
528	115.1583491
529	115.1486444
530	115.0743414
531	114.8862755
532	114.8459463
533	114.7944985
534	114.766974
535	114.678711
536	114.6000041
537	114.5717825
538	114.5573994
539	114.5362947
540	114.5025379
541	114.4466682
542	114.4313923
543	114.4193154
544	114.4132703
545	114.4059263
546	114.3916311
547	114.3694545
548	114.3383525
549	114.106311
550	114.0383239
551	113.9977046
552	113.9167987
553	113.8939685
554	113.835902
555	113.8156961
556	113.7521673
557	113.7430112
558	113.7253281
559	113.6004097
560	113.5892898
561	113.4569895
562	113.4180926
563	113.4081514
564	113.3775405
565	113.2379328
566	113.1311019
567	113.0811485
568	113.053534
569	113.0459484
570	112.9901667
571	112.9533666
572	112.9208094
573	112.9056349
574	112.881679
575	112.8564319
576	112.8152449
577	112.790542
578	112.7738701
579	112.757043
580	112.7242418
581	112.6180189
582	112.5885082
583	112.5826583
584	112.4695604
585	112.4539087
586	112.3914552
587	112.3438467
588	112.293288
589	112.2126926
590	112.1794798
591	112.1253954
592	112.1155344
593	112.0712839
594	112.0516081
595	112.0330986
596	112.0193155
597	112.0076397
598	111.9993673
599	111.908192
600	111.8860752
601	111.8730945
602	111.8614147
603	111.8115079
604	111.7397718
605	111.707357
606	111.6666134
607	111.6502312
608	111.6036416
609	111.5263877
610	111.5147362
611	111.5041475
612	111.4932291
613	111.4599355
614	111.4421015
615	111.4231298
616	111.4062218
617	111.4015219
618	111.3640843
619	111.3639866
620	111.3377276
621	111.3262959
622	111.326203
623	111.2424045
624	111.071656
625	111.027749
626	111.0011984
627	110.9330816
628	110.9172723
629	110.8593559
630	110.7793252
631	110.7733465
632	110.7534859
633	110.731607
634	110.6992321
635	110.6029041
636	110.5302199
637	110.4901403
638	110.4199884
639	110.3848267
640	110.3788502
641	110.3463818
642	110.2678802
643	110.2421144
644	110.2298506
645	110.2226628
646	110.2093843
647	110.1666903
648	110.157009
649	110.1438097
650	110.1345671
651	110.1246176
652	110.1072793
653	110.0977987
654	110.05583
655	109.9852511
656	109.8681237
657	109.8093509
658	109.7915579
659	109.7858454
660	109.7359181
661	109.6471006
662	109.5676032
663	109.5276547
664	109.4850264
665	109.46122
666	109.408183
667	109.3474787
668	109.293359
669	109.2471138
670	109.2387236
671	109.2218889
672	109.1528144
673	109.1127831
674	109.0946547
675	109.0676587
676	109.0450749
677	109.0236843
678	109.0125061
679	108.9848507
680	108.968354
681	108.9600911
682	108.950869
683	108.9319853
684	108.9214744
685	108.9113736
686	108.8877654
687	108.8792166
688	108.8670516
689	108.8603151
690	108.8487676
691	108.811432
692	108.769312
693	108.6093494
694	108.6051218
695	108.5858724
696	108.585784
697	108.5857001
698	108.5322589
699	108.5320834
700	108.5199818
701	108.5105655
702	108.504433
703	108.4590118
704	108.3781305
705	108.3696607
706	108.3586567
707	108.2860723
708	108.2569352
709	108.2431166
710	108.2077378
711	108.1952287
712	108.1598959
713	108.1480171
714	108.1397467
715	108.1266325
716	108.108502
717	108.0934548
718	108.0786626
719	108.0599057
720	107.983634
721	107.8641036
722	107.8230486
723	107.7976913
724	107.7644779
725	107.7355219
726	107.7206307
727	107.6768702
728	107.6661059
729	107.6555687
730	107.6253135
731	107.625139
732	107.615378
733	107.5802094
734	107.5349998
735	107.4726607
736	107.3589593
737	107.3431989
738	107.3274957
739	107.3167186
740	107.2341208
741	107.1383016
742	107.1177426
743	107.0533074
744	107.0201077
745	106.9886911
746	106.9693436
747	106.960956
748	106.9517698
749	106.9431396
750	106.8744792
751	106.8668343
752	106.8550707
753	106.8165307
754	106.8138996
755	106.7793957
756	106.7403621
757	106.6310815
758	106.5643643
759	106.5371771
760	106.5246733
761	106.5123238
762	106.5010945
763	106.4888923
764	106.4841106
765	106.4758003
766	106.4500271
767	106.4162627
768	106.3742147
769	106.3613556
770	106.3396033
771	106.2949248
772	106.1966655
773	106.1602385
774	106.1273796
775	106.0836379
776	106.0563669
777	105.9721545
778	105.9317077
779	105.8890138
780	105.8694801
781	105.8560173
782	105.8451048
783	105.7211997
784	105.7186923
785	105.6251696
786	105.6052406
787	105.5965575
788	105.5824048
789	105.5378401
790	105.5277233
791	105.5195165
792	105.478359
793	105.4034849
794	105.3933435
795	105.3820425
796	105.3486569
797	105.3384881
798	105.2720705
799	105.251925
800	105.2206325
801	105.1300437
802	105.0539033
803	105.0224772
804	104.9712418
805	104.955281
806	104.9424248
807	104.9339298
808	104.8045627
809	104.7426392
810	104.7189048
811	104.7101227
812	104.6748673
813	104.6528464
814	104.6452823
815	104.595189
816	104.5752588
817	104.5587101
818	104.503268
819	104.4677621
820	104.3791412
821	104.3299441
822	104.3195353
823	104.3101276
824	104.2435493
825	104.2306873
826	104.2102908
827	104.2019958
828	104.1861625
829	104.1747021
830	104.1379198
831	104.0849228
832	104.0693678
833	103.9792592
834	103.9709198
835	103.9639077
836	103.9553202
837	103.9488879
838	103.9411709
839	103.8738912
840	103.8528333
841	103.7005504
842	103.6946966
843	103.6483386
844	103.6328813
845	103.599228
846	103.5782072
847	103.4977887
848	103.4772499
849	103.4619566
850	103.4149595
851	103.3243531
852	103.3155816
853	103.304589
854	103.2891932
855	103.1870064
856	103.1782398
857	103.165805
858	103.1338815
859	103.123761
860	103.0965921
861	102.9613502
862	102.9540773
863	102.9448676
864	102.9358696
865	102.9241008
866	102.8638306
867	102.8339488
868	102.7551108
869	102.727425
870	102.7186833
871	102.7073291
872	102.6980248
873	102.6877564
874	102.6767233
875	102.6481074
876	102.638844
877	102.6014666
878	102.5779143
879	102.5281774
880	102.5010304
881	102.4685946
882	102.3805286
883	102.3614621
884	102.298517
885	102.2870645
886	102.1546767
887	102.1431618
888	102.0706479
889	101.999613
890	101.9406164
891	101.9152621
892	101.9023769
893	101.8654814
894	101.8566575
895	101.8120881
896	101.7712516
897	101.7070777
898	101.695822
899	101.6690212
900	101.6591684
901	101.6105794
902	101.6022271
903	101.5674323
904	101.5559797
905	101.5020428
906	101.4932316
907	101.4639011
908	101.4506527
909	101.4422764
910	101.4324229
911	101.3884951
912	101.3817882
913	101.3682905
914	101.3165996
915	101.2537664
916	101.2453143
917	101.1617098
918	101.1503953
919	101.1012694
920	101.0442004
921	100.9893817
922	100.9787177
923	100.9691741
924	100.960914
925	100.9535251
926	100.8881915
927	100.8727494
928	100.8419771
929	100.8282483
930	100.8195154
931	100.8091107
932	100.7988617
933	100.7936518
934	100.7883943
935	100.7591489
936	100.7492979
937	100.7183769
938	100.6902043
939	100.6690985
940	100.6610584
941	100.6539273
942	100.6431851
943	100.6382163
944	100.628673
945	100.6228148
946	100.6138943
947	100.608978
948	100.5865283
949	100.5456269
950	100.5315282
951	100.5211946
952	100.5104391
953	100.5058808
954	100.5007119
955	100.4964454
956	100.3291631
957	100.3178335
958	100.3102551
959	100.2336727
960	100.2181765
961	100.206378
962	100.1897072
963	100.1815959
964	100.1735602
965	100.1312953
966	100.1243862
967	100.1204003
968	100.1101287
969	100.0914322
970	100.0867935
971	100.0803008
972	100.0734242
973	100.0697392
974	100.0619398
975	100.0577165
976	100.014095
977	99.99919106
978	99.99458944
979	99.98212611
980	99.91897924
981	99.90466773
982	99.85187866
983	99.82845951
984	99.82127622
985	99.81213147
986	99.80921519
987	99.76831365
988	99.76091115
989	99.70131087
990	99.68924119
991	99.67433195
992	99.60215158
993	99.58177317
994	99.53531794
995	99.52628285
996	99.48290434
997	99.47345295
998	99.46097154
999	99.45107524
